,Long,Lat,Sand,Prod
1,3.5808,5.7164,66.113,6.361
2,3.5808,5.7176,68.791,6.412
3,3.5808,5.7177,69.064,7.534
4,3.5809,5.7162,67.27,6.585
5,3.5713,5.7079,65.074,6.352
6,3.5715,5.708,39.558,3.1
7,3.573,5.7091,69.564,7.514
8,3.573,5.709,40.117,3.658
9,3.5734,5.7085,39.461,3.997
10,3.5752,5.7101,69.385,6.692
11,3.5757,5.7082,69.096,6.672
12,3.5757,5.7114,76.719,7.759
13,3.5763,5.7107,69.19,7.437
14,3.5765,5.7096,68.404,7.412
15,3.5768,5.7187,70.926,6.693
16,3.5776,5.7187,69.331,7.189
17,3.5778,5.7175,68.681,6.993
18,3.5778,5.7176,69.4,6.986
19,3.5779,5.7175,69.032,7.08
20,3.5779,5.7187,68.667,6.697
21,3.578,5.7176,69.079,6.45
22,3.5781,5.7176,68.587,6.717
23,3.5782,5.7175,69.396,7.269
24,3.5785,5.7188,68.375,5.986
25,3.5789,5.7182,69.362,7.466
26,3.5791,5.718,68.628,6.188
27,3.5795,5.7119,69.069,7.601
28,3.5797,5.7133,69.836,6.659
29,3.5798,5.7169,69.613,6.878
30,3.5798,5.7168,55.748,5.568
31,3.5799,5.7174,69.378,6.007
32,3.5799,5.7178,68.093,6.261
33,3.5799,5.7169,68.957,6.465
34,3.58,5.7132,69.814,6.979
35,3.58,5.717,69.845,6.177
36,3.58,5.713,68.621,6.585
37,3.58,5.7154,70.574,6.669
38,3.58,5.715,70.7,7.836
39,3.5801,5.7128,69.227,7.563
40,3.5801,5.7123,68.903,6.697
41,3.5801,5.7172,69.508,7.104
42,3.5801,5.7184,68.608,7.473
43,3.5801,5.7135,68.226,6.813
44,3.5802,5.7174,69.457,6.615
45,3.5802,5.7128,69.232,7.861
46,3.5802,5.7173,69.854,7.099
47,3.5803,5.714,69.334,6.741
48,3.5803,5.7122,68.971,7.321
49,3.5803,5.7178,69.184,6.729
50,3.5803,5.7136,68.477,7.553
51,3.5804,5.7177,68.586,6.865
52,3.5804,5.7127,69.282,7.604
53,3.5804,5.7126,68.697,6.626
54,3.5804,5.7167,70.913,7.467
55,3.5804,5.7138,69.456,5.326
56,3.5805,5.7127,68.534,7.11
57,3.5805,5.7125,71.428,6.675
58,3.5805,5.7189,68.877,6.279
59,3.5805,5.7174,69.681,7.745
60,3.5805,5.7124,71.498,7.209
61,3.5805,5.7185,68.71,7.312
62,3.5805,5.7128,69.146,6.933
63,3.5806,5.7173,69.063,6.958
64,3.5806,5.7124,71.357,7.327
65,3.5806,5.7131,69.254,6.758
66,3.5806,5.7142,68.395,6.913
67,3.5806,5.713,69.038,6.747
68,3.5806,5.7189,69.524,7.274
69,3.5806,5.7145,69.45,6.34
70,3.5806,5.7177,68.228,7.403
71,3.5806,5.7174,69.425,7.749
72,3.5807,5.7177,68.991,6.887
73,3.5807,5.7175,69.356,7.169
74,3.5807,5.7179,68.917,6.627
75,3.5807,5.718,71.607,6.421
76,3.5807,5.7188,71.716,7.352
77,3.5807,5.7132,70.611,6.574
78,3.5808,5.7159,68.419,6.58
79,3.5808,5.712,68.802,7.69
80,3.5808,5.7189,70.913,6.648
81,3.5808,5.7129,71.084,6.726
82,3.5808,5.7181,70.912,7.188
83,3.5808,5.7165,69.258,6.173
84,3.5808,5.7135,70.531,7.338
85,3.5809,5.7142,69.185,5.611
86,3.5809,5.7144,68.912,6.456
87,3.5809,5.7141,69.543,6.602
88,3.5809,5.7161,69.618,6.998
89,3.5693,5.7156,39.849,4.773
90,3.5693,5.7154,40.312,4.262
91,3.5693,5.7163,66.51,5.69
92,3.5694,5.7132,39.594,4.328
93,3.5694,5.7149,37.713,3.976
94,3.5694,5.7156,40.231,3.349
95,3.5694,5.7154,37.942,3.09
96,3.5694,5.714,40.553,4.526
97,3.5694,5.7161,66.201,6.732
98,3.5694,5.7117,66.742,7.515
99,3.5694,5.7157,40.28,4.708
100,3.5694,5.7142,40.071,4.065
101,3.5694,5.7119,39.452,3.862
102,3.5694,5.7121,40.12,4.01
103,3.5694,5.7158,39.541,3.648
104,3.5694,5.7162,66.234,6.569
105,3.5694,5.7083,39.9,3.857
106,3.5695,5.7154,40.195,3.719
107,3.5695,5.7143,37.587,3.175
108,3.5695,5.7119,39.815,3.648
109,3.5695,5.7078,67.303,6.354
110,3.5695,5.7162,66.99,6.942
111,3.5695,5.713,39.495,3.941
112,3.5695,5.7077,66.709,7.563
113,3.5695,5.7086,65.702,6.569
114,3.5695,5.7148,37.579,3.237
115,3.5695,5.7145,43.041,4.963
116,3.5695,5.7157,39.352,3.908
117,3.5695,5.7122,40.581,3.893
118,3.5695,5.7159,65.574,6.115
119,3.5696,5.7133,40.268,3.486
120,3.5696,5.7084,40.43,4.071
121,3.5696,5.7158,39.729,3.959
122,3.5696,5.7122,66.55,6.376
123,3.5696,5.7152,38.238,3.918
124,3.5696,5.7077,66.707,6.668
125,3.5696,5.7142,39.566,4.345
126,3.5696,5.7081,40.016,3.85
127,3.5696,5.7135,40.02,3.882
128,3.5696,5.7082,40.724,3.85
129,3.5696,5.7139,39.409,5.07
130,3.5697,5.7076,66.368,6.328
131,3.5697,5.708,62.56,6.754
132,3.5697,5.7147,40.239,4.155
133,3.5697,5.7134,39.52,4.671
134,3.5697,5.7141,39.289,3.401
